SectorCode,Sector,Region,regioncode,kpi,year,value
B,Mining and Quarrying,Al Madinah al Munawwara,AMA,Investments,2015,926.5375708108368
C,Manufacturing,Al Madinah al Munawwara,AMA,Investments,2015,6307.616691889509
D,"Electricity, gas, steam and air conditioning supplies",Al Madinah al Munawwara,AMA,Investments,2015,689.9610680568348
E,"Water supply; sewerage, waste management and remediation activities",Al Madinah al Munawwara,AMA,Investments,2015,314.3089436917981
F,Construction,Al Madinah al Munawwara,AMA,Investments,2015,1717.2353347362655
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Al Madinah al Munawwara,AMA,Investments,2015,3387.42288950357
H,Transportation and Storage,Al Madinah al Munawwara,AMA,Investments,2015,535.4171584349475
I,Accommodation and food services activities,Al Madinah al Munawwara,AMA,Investments,2015,699.6731881642062
J,Information and Communication,Al Madinah al Munawwara,AMA,Investments,2015,928.1326466852266
K,Financial and Insurance Activities,Al Madinah al Munawwara,AMA,Investments,2015,3487.6457220502652
L,Real Estate Activities,Al Madinah al Munawwara,AMA,Investments,2015,2009.4664603339706
M,"Professional, Scientific and Technical Activities",Al Madinah al Munawwara,AMA,Investments,2015,613.4277996666526
N,Administrative and Support Service Activities,Al Madinah al Munawwara,AMA,Investments,2015,854.8626930174385
O,"Public administration, defense and compulsory social security",Al Madinah al Munawwara,AMA,Investments,2015,0.7545968883345546
P,Education,Al Madinah al Munawwara,AMA,Investments,2015,13.580989558028582
Q,Human Health and Social Work Activities,Al Madinah al Munawwara,AMA,Investments,2015,93.48838602562822
R,"Arts, entertainment and recreation",Al Madinah al Munawwara,AMA,Investments,2015,13.03688883201269
S,Other service activities,Al Madinah al Munawwara,AMA,Investments,2015,31.606216536228327
A,"Agriculture, forestry and fishing",Al Qasim,AQA,GDP,2015,0.0
